t,theta_sol,theta_dot_sol,theta_ddot_sol,theta_e_sol,theta_e_dot_sol,theta_e_ddot_sol,theta_d_sol,theta_d_dot_sol,theta_d_ddot_sol
0.0,0.0,0.0,-0.0,0.39269908169872414,2.4674011002723395,0.0,0.39269908169872414,2.4674011002723395,-0.0
0.033351862145636464,-0.0010778261130431344,-0.10120038765868511,-6.610300629541833,0.47591883830963727,2.5550697892296395,5.799592270786079,0.47484101219659414,2.4538694015709543,-0.8107083587557542
0.06670372429127293,-0.00991719202465502,-0.48900106945726884,-17.592536602982314,0.5659991706609249,2.9024237957622727,15.980012044304784,0.5560819786362698,2.413422726305004,-1.61252455867753
0.1000555864369094,-0.0390052837307886,-1.35933982585615,-36.283197257120534,0.6745361828081535,3.7058445349088283,33.88654328359577,0.6355308990773649,2.3465047090526783,-2.39665397352476
0.13340744858254586,-0.10963534929465035,-3.0465015319205984,-67.28455302280467,0.8219516967189178,5.3003508640993005,64.13005705033571,0.7123163474242674,2.253849332178702,-3.1544959724689687
0.16675931072818231,-0.2564188578802109,-5.97752383241809,-108.61519640307435,1.0420149694405072,8.113996707653593,104.73745814797763,0.7855961115602963,2.1364728752355036,-3.877738255096709
0.2001111728738188,-0.5213613123135008,-10.029177167139418,-125.14281115890647,1.3759277433652815,12.024839935160449,120.58436313501207,0.8545664310517807,1.9956627680210313,-4.558448023894403
0.23346303501945526,-0.9199394233451004,-13.628409182727367,-82.99154409855797,1.8384102364444994,15.461372652284517,77.8023851043575,0.918470813099399,1.8329634695571497,-5.189158994200473
0.2668148971650917,-1.4087944724607455,-15.323064228495475,-17.676466734565118,2.3854028025008014,16.973223756368835,11.91351344729873,0.9766083300400559,1.6501595278733592,-5.762953287266387
0.30016675931072817,-1.917251737127951,-14.798350135028054,49.35134162274984,2.945593044517079,16.247606141430666,-55.62487893094209,1.028341307389128,1.4492560064026119,-6.273537308192244
0.33351862145636463,-2.370192222917691,-11.952546418212133,120.20282140621917,3.443294541015387,13.185002909892113,-126.91813218269792,1.0731023180976964,1.2324564916799787,-6.71531077647874
0.3668704836020011,-2.6927801452118003,-7.2218637539500445,152.1628806432794,3.803180551520882,8.224002677514175,-159.24630879532145,1.1104004063090818,1.0021389235641303,-7.083428152042049
0.4002223457476376,-2.852500556414168,-2.568448151937697,119.89653803090744,3.9923270287643122,3.329277665022689,-127.2703898138551,1.1398264723501441,0.7608295130849922,-7.373851782947661
0.43357420789327406,-2.8808236982541153,0.6330138348909762,73.4848818851988,4.041881458146818,-0.12183880089439736,-81.0682780771173,1.161057759892703,0.5111750339965788,-7.583396191918495
0.4669260700389105,-2.8255804359662067,2.4953583829965353,40.49265029041645,3.9994418320343947,-2.2394445910447036,-48.20241330628246,1.1738613960681878,0.25591379195183184,-7.709763015866007
0.500277932184547,-2.724208484703209,3.4740825473127392,19.95905855669008,3.9023054304093847,-3.4762369575920946,-27.710624771904207,1.1780969457061756,-0.002154410279355507,-7.751566215214125
0.5336297943301834,-2.5997277053692187,3.9265299169233856,8.309086240142971,3.7734456570501838,-4.186728899039359,-16.017433516653533,1.173717951680965,-0.26019898211597353,-7.708347276510561
0.5669816564758199,-2.465461024903034,4.088749913559859,2.161336263862898,3.6262334693741023,-4.604139505724064,-9.741916505440328,1.160772444471068,-0.5153895921642053,-7.5805802415774295
0.6003335186214563,-2.328539586456765,4.104705800182155,-0.80678945404728,3.4679420017993494,-4.869633012555019,-6.562877053992259,1.1394024153425844,-0.7649272123728632,-7.369666508039539
0.6336853807670928,-2.1923648410826786,4.054776216939109,-1.9544464396384331,3.3022071000174544,-5.060851035780929,-5.123473018621708,1.1098422589347758,-1.0060748188418196,-7.0779194582601415
0.6670372429127293,-2.0582546826847885,3.986731987641253,-1.961508618492843,3.1306708850149527,-5.22291940018648,-4.747030466787002,1.072416202330164,-1.2361874125452263,-6.7085390852798445
0.7003891050583657,-1.9262612198349545,3.932814480325975,-1.148879913353702,2.9537959686430435,-5.385555511016755,-5.116696980717384,1.027534748808089,-1.4527410306907802,-6.265576894071086
0.7337409672040022,-1.7954764714287732,3.9181872692801027,0.40671711345594463,2.7711666467167713,-5.571547699787461,-6.160608576540539,0.975690175287998,-1.6533604305073581,-5.753891463084594
0.7670928293496386,-1.6641738240924107,3.968744206949218,2.778656244388329,2.5816249569406353,-5.804589348763897,-7.957751397894105,0.9174511328482245,-1.8358451418146788,-5.179095153505776
0.8004446914952752,-1.5296858243640217,4.113899506751929,5.93588296151878,2.383142233907853,-6.112093109372384,-10.483375512253023,0.8534564095438314,-1.9981936026204543,-4.547492550734243
0.8337965536409117,-1.3885450290244354,4.371502286382322,9.853272394456203,2.17295295295975,-6.510127399398898,-13.719283707740075,0.7844079239353148,-2.1386251130165763,-3.8660113132838725
0.8671484157865481,-1.236209884547703,4.799935460569035,16.407012013009986,1.9472729107255164,-7.055534827144683,-19.549138200588974,0.7110630261778135,-2.2555993665756477,-3.142126187578988
0.9005002779321846,-1.0651731664238118,5.520047826982922,27.953502402565622,1.6993993575392405,-7.867881172002932,-30.33727942464712,0.6342261911154288,-2.3478333450200095,-2.383777022081499
0.933852140077821,-0.8621703363301627,6.786794048940084,51.0555344313084,1.4169105308241217,-9.201109439796198,-52.65481611130967,0.554740194493959,-2.4143153908561144,-1.599281680001267
0.9672040022234575,-0.5993509671624111,9.272358061067358,107.14069133794307,1.0728278362371295,-11.726674364687558,-107.93793614373944,0.4734768690747184,-2.454316303620199,-0.7972448057963735
